"代號","名稱","股價日期","成交","股價最高","股價最低","成交張數","5日均線","10日均線","月均線","季均線"
"00740B","富邦全球投等債","09/09","49.3","49.3","49.1","331","49.63↘","49.42↘","49.82↘","50↗"
"00741B","富邦全球高收債","09/09","38.14","38.14","37.94","326","38.26↘","38.3↘","38.26↘","38.14↘"
"00744B","國泰中國政金債5+","09/09","40.55","40.61","40.55","102","40.62↘","40.65↗","40.59↗","40.51↘"
"00745B","富邦中政債0-1","09/09","39.47","39.47","39.47","100","39.55↘","39.52↗","39.36↗","39.01↗"
"00746B","富邦A級公司債","09/09","48.22","48.35","48.21","105","48.64↘","48.46↘","48.78↘","49.11↗"
"00747B","FH中國政策債","09/09","50.25","50.25","50.1","101","50.38↘","50.39↗","50.22↗","49.74↗"
"00748B","凱基中國債3-10","09/09","40.5","40.5","40.45","107","40.6↘","40.66↘","40.73↘","40.67↘"
"00749B","凱基新興債10+","09/09","47.94","47.94","47.94","100","48.29↘","48.2↘","48.6↘","47.72↗"
"00750B","凱基科技債10+","09/09","48.2","48.25","48.2","101","48.44↘","48.2↗","48.43↘","48.91↗"
"00751B","元大AAA至A公司債","09/09","49.42","49.44","49.3","235","49.55↘","49.38↘","49.84↘","50.25↗"
"00754B","群益AAA-AA公司債","09/09","50.3","50.3","50.2","201","50.35→","50.11↗","50.5↘","51.28↗"
"00755B","群益15年IG公用債","09/09","48.13","48.19","48.13","204","48.33↘","48.15↘","48.66↘","48.9↗"
"00756B","群益15年EM主權債","09/09","50.1","50.1","50","101","50.41↘","50.28↘","50.91↘","50.18↗"
"00758B","FH能源債","09/09","62.55","62.55","62.55","100","63.02↘","62.82↘","63.38↘","63.57↘"
"00759B","FH製藥債","09/09","76.35","76.35","76.35","100","76.97↘","76.71↘","77.8↘","78.49↗"
"00760B","FH新興企業債","09/09","68.7","68.7","68.7","100","69.05↘","68.94↘","69.52↘","68.53↗"
"00761B","國泰A級公司債","09/09","50.3","50.55","50.3","108","50.66↘","50.45↘","50.8↘","51.32↗"
"00764B","群益25年美債","09/09","51.95","51.95","51.15","122","51.9↗","51.67↘","52.05↘","52.57↗"
"00765B","群益中國政金債","09/09","39.19","39.19","39.1","102","39.22↘","39.27↗","39.15↗","38.81↗"
"00768B","FH20年美債","09/09","81.35","81.35","81.3","101","81.3↗","80.94→","81.42↘","82.14↗"
"00772B","中信高評級公司債","09/09","48.81","48.85","48.75","256","48.96↘","48.75↘","49.13↘","49.56↗"
"00773B","中信優先金融債","09/09","49.46","49.46","49.36","264","49.7↘","49.47↘","49.8↘","49.89↗"
"00777B","凱基AAA至A公司債","09/09","48.03","48.08","48.03","102","48.31↘","48.1↘","48.46↘","48.88↗"
"00778B","凱基金融債20+","09/09","49.2","49.21","49.2","102","49.54↘","49.3↘","49.66↘","49.77↗"
"00779B","凱基美債25+","09/09","52.65","52.65","52.4","112","52.55↗","52.27↗","52.63↘","53.19↗"
"00780B","國泰A級金融債","09/09","43.8","43.8","43.8","100","43.99↘","43.98↘","44.05↘","43.99↗"
"00781B","國泰A級科技債","09/09","48","48","48","100","48.22↘","47.93↗","48.11↘","48.76↗"
"00782B","國泰A級公用債","09/09","46.8","46.8","46.8","100","47↘","46.86↘","47.27↘","47.56↗"
"00784B","富邦中國投等債","09/09","40.44","40.45","40.44","200","40.47↘","40.48↘","40.49↘","40.48↗"
"00785B","富邦金融投等債","09/09","46.8","46.8","46.8","200","47.12↘","46.88↘","47.16↘","47.35↗"
"00786B","元大10年IG銀行債","09/09","45.54","45.58","45.51","52","45.82↘","45.62↘","45.97↘","46.24↗"
"00787B","元大10年IG醫療債","09/09","46.8","46.86","46.79","46","46.97↘","46.9↘","47.36↘","47.57↗"
"00788B","元大10年IG電能債","09/09","45.5","45.5","45.43","48","45.61↘","45.38↘","45.75↘","45.96↗"
"00789B","FH公司債A3","09/09","71.65","71.65","71.6","200","72.11↘","71.74↘","72.34↘","73.22↗"
"00790B","FH次順位IG金融債","09/09","69","69","68.95","400","69.37↘","69.1↘","69.47↘","69.47↗"
"00791B","FH美元信用債1-5Y","09/09","59.4","59.4","59.35","300","59.45↘","59.42→","59.48→","59.42↘"
"00792B","群益A級公司債","09/09","47.11","47.11","46.85","102","47.27↘","47.03↘","47.43↘","47.78↗"
"00793B","群益AAA-A醫療債","09/09","47.03","47.03","46.89","112","47.19↘","47.05↘","47.5↘","47.74↗"
"00794B","群益7+中國政金債","09/09","38.74","38.74","38.74","100","38.84↘","38.84↗","38.85↘","38.72↘"
"00795B","中信美國公債20年","09/09","49.36","49.5","49.3","221","49.26↗","49.04↘","49.43↘","49.98↗"
"00796B","中信中國債7-10","09/09","38.45","38.45","38.41","210","38.51↘","38.52↗","38.59↘","38.62↘"
"00799B","國泰A級醫療債","09/09","45.85","45.85","45.85","100","46.1↘","45.96↘","46.47↘","46.77↗"
"00831B","新光美債1-3","09/09","38.88","38.88","38.88","50","38.93↘","38.94↘","38.96↘","39.04↘"
"00832B","新光美債20+","09/09","50.6","50.6","50.6","50","50.51↗","50.23↗","50.57↘","51.05↗"
"00833B","第一金美債20+","09/09","48.25","48.25","48.17","108","48.23↗","48↗","48.32↘","48.92↗"
"00834B","第一金金融債10+","09/09","46.05","46.1","46.05","107","46.43↘","46.19↘","46.53↘","46.7↗"
"00836B","永豐10年A公司債","09/09","44.57","44.57","44.57","163","44.73↘","44.47↘","44.87↘","45.06↗"
"00838B","永豐7-10年中國債","09/09","37.98","37.99","37.93","101","38.06↘","38.1↗","38.04↗","37.81↘"
"00839B","凱基醫療保健債","09/09","45.14","45.14","45.14","100","45.5↘","45.36↘","45.93↘","46.28↗"
"00840B","凱基IG精選15+","09/09","43.84","43.85","43.84","101","44.06↘","43.86↘","44.29↘","44.72↗"
"00841B","凱基AAA-AA公司債","09/09","44.37","44.39","44.37","102","44.51↘","44.27↗","44.63↘","45.18↗"
"00842B","台新美元銀行債","09/09","43.93","43.93","43.91","100","44.1↘","43.89↘","44.26↘","44.49↗"
"00843B","台新中國政策債","09/09","38.05","38.08","38.05","100","38.15↘","38.22→","38.13↗","38.09↘"
"00844B","新光15年IG金融債","09/09","43.65","43.65","43.65","2","43.91↘","43.58↘","43.98↘","44.18↗"
"00845B","富邦新興投等債","09/09","39.27","39.27","39.23","240","39.31↗","39.24↘","39.4↘","38.94↗"
"00846B","富邦歐洲銀行債","09/09","40.61","40.61","40.61","211","40.69↘","40.63↗","40.67↘","40.51↗"
"00847B","中信美國市政債","09/09","39.21","39.21","39.15","213","39.14↗","39.06↘","39.27↘","39.26↗"
"00848B","中信新興亞洲債","09/09","40.63","40.63","40.54","219","40.68↗","40.62↘","40.82↘","40.35↗"
"00849B","中信EM主權債0-5","09/09","38.7","38.71","38.69","211","38.75↘","38.79↘","38.81↘","38.81↘"
"00853B","統一美債10年Aa-A","09/09","38.91","38.91","38.91","0","39.12↗","39.01↘","39.47↘","39.68↗"
"00854B","富邦全球保險債","09/09","42.46","42.46","42.38","126","42.59↘","42.4↘","42.77↘","42.75↗"
"00855B","富邦全球能源債","09/09","38.67","38.67","38.55","108","38.89↘","38.76↘","39.17↘","39.39↘"
"00856B","永豐1-3年美公債","09/09","38.65","38.66","38.64","105","38.66↘","38.68↘","38.71↘","38.79↘"
"00857B","永豐20年美公債","09/09","43.81","43.81","43.63","101","43.68↗","43.46↗","43.74↘","44.15↗"
="00858","永豐美國500大","09/09","22.37","22.39","22.24","112","23.06↘","23.37↘","23.05↘","21.92↗"
"00859B","群益0-1年美債","09/09","38.14","38.16","38.14","101","38.12↘","38.15↘","38.19↘","38.29↘"
"00860B","群益1-5年IG債","09/09","39.45","39.45","39.45","100","39.45↘","39.47↗","39.49↘","39.53↘"
"00862B","中信投資級公司債","09/09","41.81","41.83","41.76","249","42.09↘","41.97↘","42.34↘","42.31↗"
